RIN,RateName,DateStart,TimeStart,DateEnd,TimeEnd,DayStart,DayEnd,ValueName,Value,Unit,RateType,Sector
USCA-XXPG-NB24-0000,NBT24,1/1/2024,8:00:00,1/1/2024,8:59:59,8,8,Jan Weekend HS0,0.05372,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,9:00:00,1/1/2024,9:59:59,8,8,Jan Weekend HS1,0.053,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,10:00:00,1/1/2024,10:59:59,8,8,Jan Weekend HS2,0.05382,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,11:00:00,1/1/2024,11:59:59,8,8,Jan Weekend HS3,0.05337,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,12:00:00,1/1/2024,12:59:59,8,8,Jan Weekend HS4,0.05241,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,13:00:00,1/1/2024,13:59:59,8,8,Jan Weekend HS5,0.05156,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,14:00:00,1/1/2024,14:59:59,8,8,Jan Weekend HS6,0.05376,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,15:00:00,1/1/2024,15:59:59,8,8,Jan Weekend HS7,0.05889,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,16:00:00,1/1/2024,16:59:59,8,8,Jan Weekend HS8,0.05291,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,17:00:00,1/1/2024,17:59:59,8,8,Jan Weekend HS9,0.04911,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,18:00:00,1/1/2024,18:59:59,8,8,Jan Weekend HS10,0.04786,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,19:00:00,1/1/2024,19:59:59,8,8,Jan Weekend HS11,0.04723,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,20:00:00,1/1/2024,20:59:59,8,8,Jan Weekend HS12,0.04592,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,21:00:00,1/1/2024,21:59:59,8,8,Jan Weekend HS13,0.04741,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,22:00:00,1/1/2024,22:59:59,8,8,Jan Weekend HS14,0.04658,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/1/2024,23:00:00,1/1/2024,23:59:59,8,8,Jan Weekend HS15,0.04721,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/2/2024,0:00:00,1/2/2024,0:59:59,8,8,Jan Weekend HS16,0.05966,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/2/2024,1:00:00,1/2/2024,1:59:59,8,8,Jan Weekend HS17,0.06533,Export $/kWh,TOU,All
USCA-XXPG-NB24-0000,NBT24,1/2/2024,2:00:00,1/2/2024,2:59:59,8,8,Jan Weekend HS18,0.06668,Export $/kWh,TOU,All
